ssn,age,education,marital-status,relationship,sex,income
191-52-3341,40.0,,Married-civ-spouse,Husband,,<=50K
054-39-1891,63.0,,,Wife,,
201-65-8476,36.0,Some-college,Never-married,Own-child,Male,
961-48-6485,26.0,HS-grad,Never-married,Not-in-family,,>50K
354-66-8304,71.0,Bachelors,,Not-in-family,,<=50K
239-61-9164,37.0,,,Unmarried,Female,<=50K
609-64-3734,18.0,Some-college,Never-married,Own-child,Female,<=50K
148-55-6510,28.0,,Never-married,Own-child,,>50K
293-64-2505,39.0,Prof-school,Married-civ-spouse,Wife,,<=50K
630-98-8942,61.0,,,Husband,Male,
943-79-6067,35.0,HS-grad,Separated,Own-child,,<=50K
441-76-9041,51.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
131-17-3218,50.0,,Never-married,Not-in-family,Male,<=50K
837-96-0687,,Some-college,Never-married,Not-in-family,Male,<=50K
381-35-7493,43.0,,Married-spouse-absent,Not-in-family,Male,
348-24-9385,56.0,Doctorate,Married-civ-spouse,Wife,,>50K
333-41-5233,33.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
389-15-8476,19.0,HS-grad,Never-married,Own-child,Male,
625-12-2849,45.0,Masters,Married-civ-spouse,Husband,Male,
967-56-7566,29.0,HS-grad,,Husband,Male,<=50K
646-37-5920,25.0,Some-college,Married-civ-spouse,Husband,Male,
189-15-8476,37.0,,Married-civ-spouse,Husband,,<=50K
065-84-7665,60.0,,Married-civ-spouse,Husband,Male,<=50K
027-51-8427,28.0,Some-college,Married-civ-spouse,,,
275-95-2088,54.0,Some-college,Never-married,,,<=50K
930-46-6829,50.0,Assoc-acdm,Never-married,Own-child,Female,<=50K
775-03-0711,63.0,Bachelors,,,Male,
075-36-8550,43.0,,Divorced,Unmarried,Male,
069-10-3194,27.0,,Widowed,Other-relative,Female,
492-65-9704,22.0,Some-college,Never-married,Own-child,,
687-19-2874,40.0,,Never-married,Not-in-family,,<=50K
945-08-5994,69.0,10th,Separated,Not-in-family,Male,
139-12-7763,56.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
382-86-2407,25.0,HS-grad,Separated,Not-in-family,,
442-50-6142,,,Married-civ-spouse,Husband,,
194-22-6044,,,,Not-in-family,,<=50K
208-81-4496,,Some-college,Married-civ-spouse,Husband,,
274-96-9287,44.0,Bachelors,Never-married,Not-in-family,,
253-31-6953,35.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
560-87-2235,,HS-grad,Married-civ-spouse,Husband,,<=50K
985-59-5822,22.0,Assoc-voc,Never-married,Own-child,Male,>50K
711-21-0072,21.0,HS-grad,Married-civ-spouse,Wife,,<=50K
276-44-3488,65.0,,Never-married,,,<=50K
726-93-4888,51.0,,,Not-in-family,,>50K
237-19-2874,37.0,,Married-civ-spouse,Husband,,<=50K
210-53-4397,59.0,,Married-civ-spouse,Husband,Male,>50K
985-84-1522,19.0,Assoc-acdm,,Not-in-family,Male,<=50K
798-74-0785,42.0,HS-grad,Separated,Own-child,Female,
528-43-9802,58.0,Bachelors,Never-married,,,
833-66-0932,32.0,,Divorced,Not-in-family,,<=50K
326-71-9901,51.0,Bachelors,Married-civ-spouse,Husband,,>50K
053-22-4815,56.0,12th,Never-married,,,<=50K
761-17-9360,27.0,,Married-civ-spouse,Husband,Male,
917-04-5453,38.0,,Married-civ-spouse,,Male,<=50K
206-51-1056,32.0,HS-grad,Married-civ-spouse,Husband,,
238-54-4225,20.0,,,Own-child,Male,<=50K
288-32-9238,30.0,,Married-civ-spouse,Husband,Male,<=50K
588-42-1375,61.0,Some-college,Married-AF-spouse,,Male,>50K
729-72-9729,23.0,,Never-married,Other-relative,Female,<=50K
672-23-5871,53.0,Assoc-acdm,Divorced,Unmarried,,
903-37-8377,33.0,,Married-civ-spouse,Husband,,
315-66-3390,,HS-grad,Married-civ-spouse,Husband,Male,
413-75-9213,55.0,,Never-married,,Male,
745-97-6657,43.0,,Divorced,,,<=50K
778-28-6240,54.0,HS-grad,Married-civ-spouse,Husband,,>50K
680-92-7517,37.0,,Married-civ-spouse,Wife,,
540-54-0540,20.0,HS-grad,Married-civ-spouse,Husband,Male,
189-37-3464,20.0,Bachelors,,Not-in-family,Female,<=50K
963-48-2800,40.0,HS-grad,,Husband,,<=50K
106-87-9606,72.0,Bachelors,Married-civ-spouse,Husband,,<=50K
194-10-3193,53.0,11th,,Unmarried,,<=50K
415-20-2702,74.0,Bachelors,Married-civ-spouse,Husband,,
083-72-2358,42.0,,Never-married,Unmarried,Female,
906-05-0367,28.0,Some-college,Married-civ-spouse,Wife,Female,
766-00-1227,27.0,,Married-civ-spouse,,Male,<=50K
591-49-2628,31.0,,Married-civ-spouse,Husband,Male,
021-99-0171,38.0,Assoc-voc,Divorced,Unmarried,Female,<=50K
462-16-2161,40.0,HS-grad,,,,>50K
919-93-2431,61.0,Bachelors,Married-civ-spouse,Husband,Male,
563-29-8525,61.0,HS-grad,Married-civ-spouse,Husband,Male,
815-90-9090,25.0,Bachelors,Never-married,Other-relative,,<=50K
293-12-0392,34.0,HS-grad,Widowed,Unmarried,,
840-29-4839,45.0,,Married-civ-spouse,Husband,,<=50K
708-87-5920,28.0,HS-grad,Widowed,Not-in-family,,
005-06-7567,37.0,,Divorced,,,
962-49-9999,70.0,,Married-civ-spouse,Husband,,
001-25-9213,47.0,Some-college,,Husband,Male,
982-46-3143,34.0,HS-grad,Widowed,Not-in-family,Male,
065-20-2702,21.0,Bachelors,Married-civ-spouse,,,<=50K
445-79-2382,24.0,,Never-married,Own-child,Female,
961-64-0048,53.0,,Married-civ-spouse,Husband,,
835-84-1522,66.0,5th-6th,Never-married,Unmarried,,<=50K
139-37-3464,22.0,,Separated,Not-in-family,,<=50K
758-32-3095,42.0,,,Husband,Male,<=50K
287-37-7149,53.0,,,Husband,Male,
383-26-1670,42.0,Masters,Divorced,Not-in-family,Female,>50K
335-84-1523,57.0,Masters,,,Female,>50K
580-83-5380,59.0,HS-grad,,Unmarried,,
691-36-9778,23.0,,Never-married,Not-in-family,,<=50K
199-72-3587,,,,Unmarried,Female,<=50K
970-23-9556,70.0,Bachelors,Divorced,,Male,
197-26-6584,23.0,Assoc-voc,Divorced,Own-child,Female,<=50K
610-16-5847,49.0,Assoc-acdm,Married-civ-spouse,Husband,Male,>50K
283-69-1645,,,Widowed,Not-in-family,,<=50K
734-85-8721,55.0,Masters,Married-civ-spouse,Husband,Male,<=50K
810-47-2972,76.0,Bachelors,Divorced,Unmarried,,
800-49-1399,29.0,HS-grad,Married-civ-spouse,Husband,Male,
870-14-7419,28.0,,Married-civ-spouse,Husband,,
941-73-8328,51.0,,Married-civ-spouse,Husband,,
784-79-7296,57.0,,Married-civ-spouse,Husband,Male,
527-88-6977,,Some-college,Married-civ-spouse,Wife,Female,<=50K
745-36-2407,43.0,HS-grad,Divorced,,Female,<=50K
151-84-2751,21.0,,,Own-child,Male,<=50K
490-75-5527,52.0,Some-college,Never-married,Not-in-family,Male,<=50K
478-68-5503,37.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
727-39-5576,36.0,HS-grad,Never-married,,Female,<=50K
928-93-1203,33.0,HS-grad,Married-civ-spouse,Husband,Male,
475-73-7100,,HS-grad,Never-married,Own-child,,<=50K
340-29-4839,35.0,HS-grad,,Husband,Male,
009-55-1597,65.0,5th-6th,Married-civ-spouse,Other-relative,,<=50K
178-47-0515,27.0,Assoc-voc,Never-married,Own-child,Female,<=50K
303-83-9066,54.0,,,,,<=50K
016-83-0466,29.0,,Never-married,Other-relative,,
561-45-5773,40.0,,,Husband,,<=50K
194-59-4594,50.0,HS-grad,Never-married,Other-relative,Male,>50K
812-80-7124,33.0,,Widowed,Not-in-family,Male,
636-97-7886,,,Never-married,Not-in-family,Female,
849-84-6436,17.0,,Widowed,,Male,
444-41-0318,39.0,Bachelors,Married-civ-spouse,,Female,<=50K
103-25-5528,39.0,11th,Never-married,,Female,<=50K
835-35-0122,40.0,,Separated,Unmarried,,<=50K
077-05-7739,24.0,11th,Never-married,Not-in-family,Male,<=50K
427-18-0589,18.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
517-75-1842,54.0,,Never-married,,Male,>50K
867-29-1153,29.0,,Divorced,,,
629-26-9041,39.0,7th-8th,Married-civ-spouse,Husband,Male,
204-54-5454,27.0,Some-college,Divorced,,Male,<=50K
131-01-9655,55.0,Some-college,Married-civ-spouse,Husband,,<=50K
251-25-9213,27.0,HS-grad,Divorced,Not-in-family,Male,<=50K
000-64-4963,60.0,Some-college,Divorced,Unmarried,Female,
482-40-1719,32.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
950-52-2112,44.0,HS-grad,Married-civ-spouse,Husband,,
116-61-5478,30.0,Some-college,Never-married,Not-in-family,,
425-73-7100,,,Married-civ-spouse,Wife,,
393-55-0368,36.0,HS-grad,Never-married,Unmarried,,<=50K
146-34-5208,76.0,,Married-civ-spouse,Husband,Male,<=50K
290-72-4815,23.0,Bachelors,Never-married,Not-in-family,Female,
759-24-4470,27.0,1st-4th,Never-married,,,<=50K
485-16-5847,34.0,HS-grad,Divorced,,Female,<=50K
860-25-7984,,Bachelors,,Not-in-family,,<=50K
456-54-1768,52.0,Bachelors,Divorced,Not-in-family,Female,>50K
206-08-1080,,Some-college,Never-married,Own-child,,<=50K
774-84-6436,51.0,Some-college,Never-married,Not-in-family,Female,
839-40-4176,46.0,Masters,Divorced,Not-in-family,Female,<=50K
583-29-2382,,,,Husband,,>50K
672-69-6559,,Assoc-acdm,,Husband,Male,<=50K
906-48-0343,30.0,HS-grad,Never-married,Not-in-family,Male,
127-18-0589,28.0,,Never-married,Not-in-family,Female,
261-21-0073,39.0,HS-grad,,Husband,Male,
582-00-2456,30.0,7th-8th,,Not-in-family,Male,<=50K
771-92-8746,42.0,HS-grad,Divorced,,,>50K
893-82-6780,31.0,Masters,Divorced,Not-in-family,,>50K
510-47-2972,25.0,,Separated,Not-in-family,Male,>50K
794-31-8181,40.0,Some-college,,Own-child,Female,
515-90-9090,29.0,5th-6th,Divorced,Not-in-family,Male,<=50K
277-30-3439,44.0,Some-college,,,,<=50K
664-49-6313,30.0,HS-grad,Divorced,Unmarried,,<=50K
953-00-9827,41.0,Bachelors,Married-civ-spouse,Husband,,
440-57-1252,73.0,Bachelors,Married-civ-spouse,Husband,,<=50K
862-22-3586,43.0,Bachelors,Divorced,Unmarried,Female,
809-73-5871,31.0,Bachelors,Never-married,,,>50K
447-20-5159,50.0,,,Husband,,>50K
202-79-4840,34.0,,Never-married,Other-relative,,
613-78-9925,47.0,,,Husband,Male,>50K
698-58-7222,51.0,,Divorced,Not-in-family,,
520-51-5969,57.0,HS-grad,Married-civ-spouse,Husband,,<=50K
193-85-7493,38.0,,Married-civ-spouse,Husband,,
122-85-0122,37.0,,,Not-in-family,Female,
945-51-5969,23.0,9th,,Not-in-family,Male,
025-18-4275,36.0,,Divorced,Not-in-family,Male,<=50K
356-97-1744,23.0,Assoc-voc,Divorced,Own-child,,
312-92-9975,24.0,Bachelors,Never-married,Not-in-family,Female,
073-61-7936,33.0,,Married-civ-spouse,,,<=50K
540-78-6240,32.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
172-08-2309,60.0,HS-grad,Married-civ-spouse,Husband,Male,
972-63-5134,53.0,Some-college,,,,
804-17-6903,28.0,5th-6th,,Not-in-family,Male,>50K
542-50-6141,54.0,Assoc-acdm,Never-married,Not-in-family,Female,
583-35-3807,21.0,10th,Never-married,Own-child,Male,
006-66-4619,40.0,Bachelors,Divorced,Not-in-family,,>50K
022-38-9434,26.0,HS-grad,Married-civ-spouse,Husband,,
876-78-1325,21.0,,Married-civ-spouse,Husband,Male,
408-07-7395,49.0,,Never-married,Own-child,Male,
799-07-8623,27.0,,,Not-in-family,Female,
547-23-5871,35.0,,Divorced,,,
661-39-4348,44.0,,,,,<=50K
162-71-4987,,HS-grad,Married-civ-spouse,Husband,Male,
881-84-8893,34.0,HS-grad,Married-civ-spouse,Husband,,<=50K
388-63-6363,42.0,HS-grad,Never-married,Not-in-family,,<=50K
869-19-5330,22.0,,Never-married,Not-in-family,Male,>50K
908-01-5969,20.0,,,Own-child,Female,<=50K
104-66-8304,43.0,,,,Male,
631-51-1055,18.0,HS-grad,Widowed,Own-child,Female,<=50K
569-53-3168,51.0,11th,,Husband,,
953-47-0515,,,Married-civ-spouse,,Male,<=50K
649-23-2186,55.0,,Married-civ-spouse,Husband,Male,<=50K
266-49-2628,43.0,9th,Never-married,Not-in-family,,<=50K
472-11-3021,52.0,Some-college,Married-civ-spouse,Husband,,<=50K
602-88-6977,72.0,Bachelors,Married-civ-spouse,,,<=50K
243-58-1080,29.0,9th,Married-civ-spouse,,Male,
674-81-5724,42.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
051-07-4938,34.0,10th,Divorced,Not-in-family,Male,
303-13-2677,34.0,Some-college,Never-married,Own-child,,
920-57-7394,53.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
465-66-3390,21.0,HS-grad,Married-civ-spouse,,Female,<=50K
581-84-8893,65.0,,Never-married,,Female,<=50K
518-36-6092,34.0,Some-college,,Husband,Male,
470-54-6682,49.0,,,Not-in-family,,<=50K
216-46-1916,55.0,HS-grad,Divorced,,,<=50K
073-67-9361,56.0,,Married-civ-spouse,Husband,,>50K
627-42-6289,41.0,1st-4th,Divorced,Unmarried,,<=50K
888-91-2775,28.0,Bachelors,Never-married,Not-in-family,Female,<=50K
182-09-4594,68.0,11th,Never-married,,Female,<=50K
582-67-8132,20.0,Some-college,Never-married,,,<=50K
700-85-9950,24.0,Masters,Married-civ-spouse,,Male,<=50K
624-26-2898,28.0,Some-college,,Not-in-family,Male,<=50K
453-04-0540,39.0,,Separated,Not-in-family,,<=50K
089-74-2014,20.0,HS-grad,Married-civ-spouse,,,
194-90-1719,41.0,,Divorced,Not-in-family,Male,
749-99-9999,47.0,Masters,Married-civ-spouse,Husband,,
615-04-9139,57.0,9th,,Not-in-family,,<=50K
622-91-1547,24.0,,Married-civ-spouse,,,<=50K
568-79-6068,37.0,HS-grad,Married-civ-spouse,Husband,,
353-65-4790,38.0,Some-college,Never-married,,Male,>50K
798-83-2923,51.0,Masters,,Unmarried,Male,
501-47-4200,23.0,12th,,Own-child,Male,<=50K
950-30-7124,,Some-college,Separated,,,
239-43-4889,22.0,,Never-married,Own-child,Female,<=50K
184-73-5872,,11th,,Own-child,Male,<=50K
242-59-8279,22.0,11th,,Own-child,,
368-79-6068,37.0,,Never-married,Not-in-family,Male,<=50K
827-67-1989,60.0,,Widowed,Not-in-family,Male,
746-00-7370,52.0,,Never-married,Not-in-family,Male,>50K
142-16-8304,35.0,,Never-married,Own-child,,>50K
584-39-8033,37.0,HS-grad,Never-married,Not-in-family,,
815-07-9851,67.0,HS-grad,Never-married,,Male,<=50K
503-65-4790,57.0,,,Husband,Male,
931-87-9605,51.0,,,Husband,,<=50K
504-05-4053,52.0,,Married-civ-spouse,Husband,Male,<=50K
165-50-9827,30.0,Bachelors,Married-civ-spouse,Husband,,
112-34-6437,58.0,Bachelors,,Husband,Male,
932-70-8844,30.0,12th,Never-married,Own-child,Male,<=50K
286-14-8648,,,,Not-in-family,,<=50K
067-19-9017,22.0,11th,Never-married,,Male,<=50K
348-46-4373,19.0,Bachelors,Never-married,Own-child,Female,
027-67-1990,60.0,Some-college,,Husband,Male,
234-70-5159,27.0,HS-grad,Never-married,Not-in-family,Female,
058-78-3783,19.0,12th,Never-married,Own-child,Female,
149-69-2874,53.0,HS-grad,,Not-in-family,,<=50K
963-94-3487,17.0,,Never-married,Own-child,Female,
870-76-1669,18.0,,Never-married,Own-child,Male,<=50K
419-25-6756,,Some-college,Married-civ-spouse,Husband,Male,<=50K
097-32-8009,36.0,HS-grad,Married-civ-spouse,,,
733-04-6682,35.0,11th,Married-civ-spouse,Husband,Male,<=50K
342-38-3292,52.0,HS-grad,,Unmarried,Female,
975-03-0711,20.0,,Never-married,Own-child,,<=50K
855-12-8991,25.0,10th,Married-civ-spouse,,,
619-25-6756,33.0,5th-6th,Married-civ-spouse,,Male,
716-15-4790,30.0,Some-college,Divorced,,Male,<=50K
117-62-8992,68.0,,Never-married,Other-relative,Female,<=50K
516-95-3316,59.0,11th,Married-civ-spouse,Husband,Male,<=50K
004-42-2604,32.0,12th,Widowed,Not-in-family,Male,
286-21-0073,39.0,Some-college,Married-civ-spouse,,Male,<=50K
849-23-2185,23.0,Bachelors,Never-married,Not-in-family,Female,<=50K
