ssn,age,education,marital-status,relationship,sex,income
253-53-1940,50.0,Bachelors,Married-civ-spouse,,,<=50K
301-38-2063,81.0,HS-grad,Widowed,Unmarried,,
832-86-2407,40.0,,Married-civ-spouse,Husband,Male,
024-63-1449,49.0,,,,Male,<=50K
496-65-2333,19.0,Some-college,Never-married,Own-child,,<=50K
343-61-1793,,,Never-married,Own-child,Female,<=50K
376-71-9901,62.0,9th,Married-civ-spouse,Husband,,>50K
705-03-6854,,Assoc-voc,Married-civ-spouse,Wife,,
213-45-2088,52.0,Some-college,Married-civ-spouse,,Male,<=50K
817-62-8991,48.0,,Never-married,,Female,<=50K
476-93-4888,24.0,,Never-married,Other-relative,Male,<=50K
704-29-9753,26.0,,Never-married,Unmarried,Male,
741-06-2652,56.0,,Married-civ-spouse,Husband,,<=50K
397-66-5847,,HS-grad,Married-civ-spouse,,Male,>50K
711-27-1498,21.0,HS-grad,Never-married,Own-child,,
621-19-1645,43.0,,Divorced,Unmarried,Female,<=50K
480-28-2554,38.0,Bachelors,,Not-in-family,Male,<=50K
868-94-9630,17.0,,,,Female,
937-22-3586,37.0,Some-college,Never-married,Not-in-family,,
773-74-0785,17.0,,Never-married,,Male,<=50K
942-10-6878,53.0,Doctorate,,Husband,Male,>50K
413-48-2800,38.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
388-17-5675,33.0,Some-college,,Husband,Female,
364-40-4176,75.0,Bachelors,Widowed,Not-in-family,Female,
167-13-7591,25.0,HS-grad,,,,<=50K
013-26-7813,40.0,,Divorced,Not-in-family,Female,<=50K
689-77-2726,49.0,HS-grad,Divorced,Own-child,Male,
772-08-2308,28.0,Bachelors,Married-civ-spouse,,Male,
285-19-6559,22.0,HS-grad,Never-married,,,
607-98-5257,,12th,Married-civ-spouse,Husband,Female,
395-14-7419,37.0,Assoc-voc,Married-civ-spouse,,,>50K
649-90-7861,40.0,HS-grad,Married-civ-spouse,Husband,Female,
117-13-7592,45.0,,,,,<=50K
567-07-6166,33.0,Masters,,Unmarried,Male,<=50K
164-55-7739,20.0,Bachelors,,,,>50K
557-09-4594,,Some-college,,,,<=50K
440-29-4839,26.0,Prof-school,Married-civ-spouse,,,>50K
305-98-8943,22.0,,Never-married,Not-in-family,Female,<=50K
830-37-4692,33.0,Bachelors,Married-civ-spouse,Husband,Male,
420-70-0245,30.0,,Divorced,Unmarried,Female,<=50K
358-04-6682,40.0,,,Husband,Male,<=50K
662-53-0711,44.0,,Never-married,,Female,<=50K
841-89-1891,43.0,Bachelors,Married-civ-spouse,Other-relative,Male,
716-92-2603,28.0,,Never-married,Not-in-family,Male,<=50K
218-88-8206,43.0,Bachelors,Married-civ-spouse,Husband,Female,>50K
272-38-9434,,HS-grad,Divorced,Unmarried,,
950-15-3561,,HS-grad,Never-married,Own-child,,<=50K
442-16-8304,26.0,HS-grad,,Not-in-family,Male,
486-48-6486,44.0,HS-grad,,Husband,Male,>50K
734-21-3758,73.0,,Married-civ-spouse,Husband,Female,>50K
562-22-3586,39.0,Some-college,Divorced,Unmarried,,
522-48-1571,45.0,,Married-civ-spouse,Husband,,
708-26-1670,42.0,HS-grad,Married-civ-spouse,Husband,Male,
720-39-3119,20.0,Bachelors,,Own-child,,<=50K
277-48-7714,67.0,HS-grad,Married-civ-spouse,,Female,
217-72-1130,23.0,Some-college,Never-married,,,<=50K
046-62-1621,56.0,,Married-civ-spouse,Husband,Male,<=50K
910-56-5109,22.0,,,Not-in-family,Female,<=50K
219-04-1768,18.0,,Never-married,,,
481-20-3930,,Bachelors,Never-married,,Female,<=50K
435-90-2947,37.0,9th,Divorced,,,<=50K
955-06-7566,39.0,HS-grad,Widowed,,Female,
475-15-3562,34.0,HS-grad,Separated,Unmarried,,
790-47-9114,42.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
797-35-8721,27.0,,Married-civ-spouse,Wife,,
049-50-8599,30.0,Bachelors,Married-civ-spouse,Own-child,,>50K
246-31-4496,27.0,Some-college,Never-married,Not-in-family,Male,<=50K
782-49-3856,44.0,,Married-spouse-absent,,,
233-35-3808,,HS-grad,Divorced,,,
661-48-6485,55.0,HS-grad,,Husband,,<=50K
456-08-1080,37.0,HS-grad,,Not-in-family,Male,>50K
108-10-8108,46.0,Some-college,Divorced,Unmarried,,<=50K
669-96-3144,53.0,Some-college,Married-civ-spouse,,Male,<=50K
731-63-3905,,Some-college,,Own-child,,<=50K
160-53-4397,60.0,,,,,<=50K
326-99-6314,,,,Own-child,Male,
407-21-7444,28.0,Some-college,Never-married,Not-in-family,,
435-53-4397,30.0,Masters,Married-civ-spouse,Wife,Male,<=50K
616-52-3340,44.0,HS-grad,Married-civ-spouse,Husband,,
433-78-3783,33.0,Assoc-acdm,,Husband,,
128-25-5528,49.0,HS-grad,Divorced,Not-in-family,,<=50K
812-22-3586,21.0,Bachelors,Married-civ-spouse,Husband,,<=50K
880-06-7566,59.0,,,Wife,,
445-48-5257,53.0,,Married-civ-spouse,Husband,Male,
455-15-9704,47.0,,,Unmarried,,
832-18-6731,45.0,Some-college,Divorced,Unmarried,,<=50K
710-16-5846,62.0,,Divorced,,Male,<=50K
032-37-1007,,,Married-civ-spouse,,,<=50K
928-96-1915,52.0,Some-college,,Husband,Female,
251-28-9926,31.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
333-20-0245,17.0,,Never-married,,,<=50K
841-06-2652,,,Married-civ-spouse,Husband,Male,
722-78-8697,,,Never-married,Own-child,,<=50K
188-45-2088,,HS-grad,Married-civ-spouse,Husband,Male,<=50K
446-99-0171,19.0,,Never-married,Own-child,Female,
050-76-7813,28.0,,Married-civ-spouse,,Male,>50K
241-79-9754,51.0,,,Husband,,
159-61-3021,53.0,,Married-civ-spouse,Wife,,<=50K
825-98-2800,51.0,HS-grad,Widowed,Not-in-family,,<=50K
085-59-5823,,,Never-married,,,
862-16-2161,74.0,HS-grad,Married-civ-spouse,Husband,,>50K
168-79-6068,46.0,Bachelors,,Husband,Male,
877-73-3414,52.0,10th,Divorced,Not-in-family,,
106-14-2506,59.0,,Married-civ-spouse,Husband,Male,
672-48-1571,22.0,,Never-married,,Male,<=50K
673-40-2947,36.0,Doctorate,Married-civ-spouse,Husband,,>50K
651-35-1350,18.0,Bachelors,Never-married,Not-in-family,,
270-23-9557,27.0,HS-grad,Married-civ-spouse,,,
841-55-4053,39.0,HS-grad,Separated,Not-in-family,Female,<=50K
968-79-6067,38.0,HS-grad,,Not-in-family,,
731-72-6043,38.0,HS-grad,Married-civ-spouse,,,
625-03-0711,,,Separated,Unmarried,,
738-66-7075,28.0,,Never-married,Not-in-family,Female,
000-98-2800,28.0,HS-grad,Separated,Unmarried,,<=50K
524-78-5011,36.0,Masters,Divorced,,Female,
619-50-2456,,HS-grad,Separated,Unmarried,,<=50K
065-69-4103,45.0,HS-grad,Divorced,,Female,
119-50-2456,56.0,HS-grad,Never-married,,,>50K
255-71-2530,28.0,,Divorced,Not-in-family,,<=50K
185-50-3685,36.0,HS-grad,Married-civ-spouse,,,<=50K
592-84-3979,17.0,,,,Male,>50K
685-19-6559,32.0,10th,Never-married,Not-in-family,Female,<=50K
295-66-9532,28.0,,Never-married,Own-child,,<=50K
593-67-3218,23.0,11th,Never-married,Own-child,Male,
616-67-6903,43.0,,Married-civ-spouse,,,<=50K
766-18-5502,32.0,Some-college,Married-civ-spouse,Husband,,<=50K
426-35-1350,44.0,Assoc-acdm,Divorced,Unmarried,,
210-01-2284,24.0,,,Not-in-family,,>50K
812-89-9262,31.0,,Widowed,Unmarried,Female,<=50K
488-69-7788,46.0,,Married-civ-spouse,,Male,<=50K
029-33-0466,54.0,HS-grad,Married-civ-spouse,Husband,,
277-88-6977,29.0,Some-college,,Not-in-family,Female,
853-37-8377,23.0,,Never-married,,Male,
937-99-1399,38.0,Assoc-voc,Married-civ-spouse,,Female,>50K
974-81-5723,53.0,,Married-civ-spouse,Husband,Male,
548-71-0073,43.0,Some-college,Divorced,Unmarried,Female,
809-88-9434,59.0,12th,,Husband,,<=50K
368-39-6805,24.0,Some-college,Never-married,Own-child,Male,<=50K
163-29-8525,64.0,Doctorate,,Not-in-family,Male,>50K
281-57-2481,23.0,Some-college,Never-married,Not-in-family,,
233-87-5921,52.0,,,Husband,,
468-36-6092,69.0,HS-grad,Widowed,,Female,
919-68-6731,28.0,10th,Never-married,,Female,
641-73-8328,33.0,Bachelors,Never-married,Not-in-family,,
914-95-7001,18.0,Some-college,Never-married,Own-child,,
289-28-1326,32.0,Assoc-voc,Never-married,,Male,
409-67-4446,51.0,HS-grad,,,,>50K
719-59-4593,33.0,Assoc-voc,Never-married,,,
254-20-7616,,Bachelors,,,Male,
824-69-2873,40.0,,Married-civ-spouse,Husband,,
170-57-7395,51.0,Bachelors,Married-civ-spouse,Husband,,<=50K
803-96-1915,,HS-grad,,Not-in-family,Male,<=50K
084-88-9434,32.0,11th,Never-married,Own-child,Male,
319-56-3881,51.0,,Married-civ-spouse,Husband,Male,<=50K
191-52-3341,23.0,Some-college,Never-married,Own-child,Female,<=50K
054-39-1891,61.0,HS-grad,Married-civ-spouse,,,<=50K
201-65-8476,40.0,HS-grad,,Husband,,
961-48-6485,42.0,Some-college,,,Male,
354-66-8304,37.0,HS-grad,Never-married,Unmarried,Male,<=50K
239-61-9164,,HS-grad,Married-civ-spouse,Husband,Male,
609-64-3734,21.0,HS-grad,Never-married,,Female,<=50K
148-55-6510,31.0,HS-grad,Never-married,Other-relative,Male,<=50K
293-64-2505,39.0,,Married-civ-spouse,Husband,Male,<=50K
630-98-8942,32.0,,,Unmarried,,<=50K
943-79-6067,35.0,,Never-married,Not-in-family,Male,
441-76-9041,25.0,5th-6th,Separated,Unmarried,Female,<=50K
131-17-3218,50.0,Masters,Never-married,Not-in-family,Female,<=50K
837-96-0687,43.0,11th,,Not-in-family,Female,
381-35-7493,31.0,,Never-married,Own-child,,
348-24-9385,66.0,Some-college,Divorced,Not-in-family,Male,<=50K
333-41-5233,19.0,HS-grad,Never-married,Own-child,Male,<=50K
389-15-8476,34.0,HS-grad,Married-civ-spouse,,,>50K
625-12-2849,51.0,,,Husband,,>50K
967-56-7566,,HS-grad,,Husband,Male,
646-37-5920,51.0,HS-grad,Married-civ-spouse,,,
189-15-8476,59.0,HS-grad,Married-civ-spouse,Husband,Male,
065-84-7665,20.0,Some-college,Never-married,Unmarried,Female,
027-51-8427,39.0,HS-grad,Married-civ-spouse,,,
275-95-2088,58.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
930-46-6829,39.0,HS-grad,Married-civ-spouse,,Male,
775-03-0711,41.0,,Married-civ-spouse,Husband,,
075-36-8550,40.0,HS-grad,Divorced,Not-in-family,,
069-10-3194,34.0,,,Husband,,<=50K
492-65-9704,,,Never-married,Unmarried,,<=50K
687-19-2874,30.0,,Divorced,Not-in-family,Male,
945-08-5994,22.0,,,Own-child,,<=50K
139-12-7763,62.0,Some-college,Never-married,Not-in-family,Female,
382-86-2407,26.0,Some-college,,Husband,,<=50K
442-50-6142,51.0,,,Not-in-family,,<=50K
194-22-6044,52.0,10th,,,Male,
208-81-4496,31.0,HS-grad,,Own-child,,
274-96-9287,47.0,HS-grad,Separated,Unmarried,,<=50K
253-31-6953,39.0,,,Husband,Male,>50K
560-87-2235,39.0,HS-grad,,Unmarried,Male,>50K
985-59-5822,40.0,Masters,,Unmarried,Male,<=50K
711-21-0072,44.0,,Divorced,Not-in-family,Female,<=50K
276-44-3488,22.0,,Never-married,Unmarried,Male,<=50K
726-93-4888,67.0,,Married-civ-spouse,,Male,>50K
237-19-2874,31.0,Bachelors,Married-civ-spouse,,Male,>50K
210-53-4397,55.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
985-84-1522,,HS-grad,Married-civ-spouse,Husband,Male,<=50K
798-74-0785,18.0,Assoc-voc,Never-married,Own-child,,<=50K
528-43-9802,58.0,Some-college,Married-civ-spouse,Husband,,>50K
833-66-0932,34.0,,Never-married,Own-child,Female,
326-71-9901,63.0,,Married-civ-spouse,Husband,Male,>50K
053-22-4815,30.0,12th,,Own-child,Female,<=50K
761-17-9360,39.0,Some-college,Separated,,,<=50K
917-04-5453,42.0,Prof-school,Married-civ-spouse,Husband,Male,>50K
206-51-1056,19.0,,Never-married,Unmarried,Male,<=50K
238-54-4225,17.0,Some-college,Never-married,Own-child,Female,
288-32-9238,45.0,Some-college,Married-spouse-absent,,Female,
588-42-1375,38.0,Masters,Married-civ-spouse,Husband,Male,
729-72-9729,33.0,,Married-civ-spouse,Husband,Male,
672-23-5871,19.0,Some-college,Never-married,Own-child,,
903-37-8377,,,Married-civ-spouse,,,
315-66-3390,40.0,7th-8th,Married-civ-spouse,Husband,,
413-75-9213,43.0,,Married-civ-spouse,Husband,,
745-97-6657,56.0,Some-college,Divorced,,Female,<=50K
778-28-6240,38.0,HS-grad,,Husband,Male,>50K
680-92-7517,49.0,7th-8th,Married-civ-spouse,Husband,,<=50K
540-54-0540,26.0,Some-college,Married-civ-spouse,Husband,,>50K
189-37-3464,21.0,Bachelors,,,Male,
963-48-2800,35.0,11th,Married-civ-spouse,,Male,>50K
106-87-9606,41.0,Bachelors,Divorced,Not-in-family,Female,<=50K
194-10-3193,71.0,HS-grad,Widowed,Not-in-family,Female,<=50K
415-20-2702,58.0,Some-college,Married-civ-spouse,Husband,,<=50K
083-72-2358,42.0,Bachelors,Never-married,Not-in-family,,
906-05-0367,46.0,11th,Widowed,Unmarried,,<=50K
766-00-1227,27.0,,Never-married,Not-in-family,Male,
591-49-2628,18.0,Some-college,,Own-child,,
021-99-0171,,11th,Divorced,Own-child,Female,<=50K
462-16-2161,50.0,,Divorced,Unmarried,Male,>50K
919-93-2431,36.0,,Never-married,Not-in-family,,<=50K
563-29-8525,36.0,12th,Married-civ-spouse,Wife,,>50K
815-90-9090,34.0,Masters,Divorced,Unmarried,Male,<=50K
293-12-0392,34.0,Some-college,,Unmarried,,<=50K
840-29-4839,39.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
708-87-5920,,Assoc-voc,Never-married,Unmarried,,<=50K
005-06-7567,26.0,Bachelors,Never-married,,,
962-49-9999,30.0,Some-college,Married-civ-spouse,Husband,,
001-25-9213,58.0,Some-college,Married-civ-spouse,Husband,,
982-46-3143,49.0,Bachelors,Never-married,Not-in-family,,<=50K
065-20-2702,39.0,Assoc-acdm,,Unmarried,Male,
445-79-2382,28.0,Some-college,Married-civ-spouse,Husband,,<=50K
961-64-0048,49.0,Some-college,Separated,Not-in-family,,
835-84-1522,26.0,HS-grad,Never-married,Own-child,Female,
139-37-3464,33.0,Bachelors,Married-civ-spouse,Other-relative,Male,<=50K
758-32-3095,27.0,,Divorced,Unmarried,Female,>50K
287-37-7149,45.0,,,Husband,,<=50K
383-26-1670,27.0,10th,Never-married,Not-in-family,Male,<=50K
335-84-1523,57.0,Bachelors,,,Male,<=50K
580-83-5380,,Some-college,Never-married,,,<=50K
691-36-9778,30.0,,Never-married,Not-in-family,Male,<=50K
199-72-3587,23.0,HS-grad,Never-married,Own-child,Female,
970-23-9556,33.0,Bachelors,Never-married,Not-in-family,,
197-26-6584,23.0,,,,Male,>50K
610-16-5847,75.0,,,Not-in-family,Male,
283-69-1645,55.0,,,Husband,Male,<=50K
734-85-8721,29.0,Bachelors,Divorced,Own-child,Female,
810-47-2972,55.0,,,Husband,,>50K
800-49-1399,28.0,,Never-married,Own-child,,<=50K
870-14-7419,41.0,HS-grad,,,,<=50K
941-73-8328,27.0,,Married-civ-spouse,,,<=50K
784-79-7296,17.0,Bachelors,Never-married,Own-child,,
527-88-6977,,,Married-civ-spouse,Husband,Male,
745-36-2407,54.0,HS-grad,Divorced,Not-in-family,Female,
151-84-2751,30.0,Bachelors,Married-spouse-absent,Unmarried,Male,
490-75-5527,52.0,,Divorced,,Male,
478-68-5503,18.0,HS-grad,Never-married,Own-child,Female,<=50K
727-39-5576,,HS-grad,Married-civ-spouse,,Female,<=50K
928-93-1203,33.0,,Married-civ-spouse,Husband,,<=50K
475-73-7100,17.0,Masters,,,Female,
340-29-4839,65.0,HS-grad,Widowed,,,
009-55-1597,35.0,,Never-married,Not-in-family,Female,<=50K
178-47-0515,39.0,HS-grad,Divorced,Not-in-family,Female,<=50K
303-83-9066,33.0,11th,Divorced,Unmarried,Female,<=50K
016-83-0466,44.0,HS-grad,Married-civ-spouse,Husband,,
561-45-5773,29.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
194-59-4594,33.0,Some-college,Never-married,Not-in-family,Male,
812-80-7124,32.0,,,Husband,Male,
636-97-7886,,HS-grad,Never-married,Not-in-family,,
849-84-6436,60.0,,,,,
444-41-0318,39.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
103-25-5528,33.0,Doctorate,Divorced,Not-in-family,Female,<=50K
835-35-0122,,11th,Never-married,Own-child,Female,<=50K
077-05-7739,,HS-grad,Separated,Unmarried,Male,
427-18-0589,39.0,Bachelors,Married-civ-spouse,,Male,
517-75-1842,,,Married-civ-spouse,Husband,Male,>50K
867-29-1153,51.0,Bachelors,Married-civ-spouse,Husband,,
629-26-9041,36.0,12th,Separated,Not-in-family,,
204-54-5454,51.0,,Married-civ-spouse,Husband,Male,>50K
131-01-9655,24.0,,Never-married,,Male,<=50K
251-25-9213,27.0,Some-college,Never-married,Own-child,Female,
000-64-4963,36.0,,,Husband,,
482-40-1719,20.0,,Never-married,Own-child,Female,<=50K
950-52-2112,20.0,,,,,<=50K
116-61-5478,21.0,Bachelors,Never-married,Not-in-family,,<=50K
425-73-7100,47.0,Assoc-acdm,,,,<=50K
393-55-0368,30.0,Bachelors,Never-married,Own-child,Male,<=50K
146-34-5208,66.0,,Married-civ-spouse,Husband,Male,
290-72-4815,54.0,Some-college,Divorced,Not-in-family,,<=50K
759-24-4470,45.0,,,Unmarried,Male,<=50K
485-16-5847,,HS-grad,,Husband,Male,
860-25-7984,27.0,,Never-married,Own-child,Male,
456-54-1768,49.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
206-08-1080,41.0,Masters,Divorced,Unmarried,Female,
774-84-6436,58.0,Preschool,Married-civ-spouse,Husband,,<=50K
839-40-4176,46.0,HS-grad,,Husband,Female,<=50K
583-29-2382,44.0,,Married-civ-spouse,Husband,Male,<=50K
672-69-6559,,,,,Male,
906-48-0343,17.0,Some-college,Never-married,,,<=50K
127-18-0589,42.0,,Married-civ-spouse,Husband,,<=50K
261-21-0073,67.0,,Widowed,Not-in-family,,
582-00-2456,39.0,,Divorced,Unmarried,Female,>50K
771-92-8746,35.0,HS-grad,,Husband,Male,<=50K
893-82-6780,40.0,,Never-married,,Male,
510-47-2972,29.0,Bachelors,Married-civ-spouse,,Male,
794-31-8181,33.0,HS-grad,Married-civ-spouse,Own-child,,
515-90-9090,37.0,HS-grad,Married-civ-spouse,Husband,Male,
277-30-3439,41.0,HS-grad,,,Female,
664-49-6313,19.0,Some-college,,Own-child,Male,
953-00-9827,25.0,,Never-married,Not-in-family,,
440-57-1252,18.0,HS-grad,Never-married,Own-child,Male,<=50K
862-22-3586,38.0,Some-college,Divorced,Not-in-family,,<=50K
809-73-5871,58.0,,Married-civ-spouse,Husband,Male,
447-20-5159,52.0,Prof-school,Married-civ-spouse,Husband,Male,>50K
202-79-4840,44.0,HS-grad,Married-civ-spouse,Wife,,
613-78-9925,,,,Husband,Male,>50K
698-58-7222,29.0,9th,,Unmarried,,
520-51-5969,50.0,,Married-civ-spouse,Husband,Male,<=50K
193-85-7493,34.0,HS-grad,Divorced,Not-in-family,,
122-85-0122,23.0,11th,Never-married,Not-in-family,,
945-51-5969,64.0,Bachelors,Married-civ-spouse,Husband,,
025-18-4275,40.0,,,,Male,<=50K
356-97-1744,23.0,HS-grad,Never-married,,,
312-92-9975,,,,Own-child,,<=50K
073-61-7936,21.0,,Never-married,Own-child,Male,<=50K
540-78-6240,18.0,,Never-married,Own-child,Female,
172-08-2309,54.0,,Married-civ-spouse,,,<=50K
972-63-5134,57.0,10th,Married-civ-spouse,Husband,,<=50K
804-17-6903,56.0,,,,Male,
542-50-6141,21.0,Some-college,Never-married,Not-in-family,,<=50K
583-35-3807,28.0,Bachelors,Married-spouse-absent,Not-in-family,,
006-66-4619,50.0,Assoc-acdm,Married-civ-spouse,Husband,Male,
022-38-9434,,Bachelors,,Not-in-family,,<=50K
876-78-1325,43.0,HS-grad,Married-civ-spouse,Husband,,<=50K
408-07-7395,40.0,HS-grad,Separated,Other-relative,,<=50K
799-07-8623,39.0,,Married-civ-spouse,Husband,,<=50K
547-23-5871,64.0,,Married-civ-spouse,Husband,,>50K
661-39-4348,20.0,Assoc-voc,Never-married,Own-child,Female,<=50K
162-71-4987,35.0,11th,Never-married,Unmarried,,
881-84-8893,54.0,Bachelors,Married-civ-spouse,,Male,>50K
388-63-6363,41.0,,Divorced,Unmarried,Female,
869-19-5330,38.0,Assoc-acdm,,Husband,Male,>50K
908-01-5969,26.0,Prof-school,Never-married,Own-child,Male,<=50K
104-66-8304,38.0,,Married-civ-spouse,Husband,,>50K
631-51-1055,54.0,Bachelors,Widowed,Not-in-family,Female,
569-53-3168,51.0,Bachelors,Married-civ-spouse,,,>50K
953-47-0515,26.0,Bachelors,Never-married,,Male,<=50K
649-23-2186,63.0,HS-grad,Never-married,Not-in-family,Male,<=50K
266-49-2628,17.0,,Never-married,Unmarried,Female,<=50K
472-11-3021,52.0,Some-college,,Not-in-family,Female,<=50K
602-88-6977,61.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
243-58-1080,,HS-grad,Married-civ-spouse,,,<=50K
674-81-5724,18.0,,Never-married,Own-child,Female,
051-07-4938,67.0,Masters,Widowed,,,>50K
303-13-2677,45.0,HS-grad,Married-civ-spouse,Husband,,<=50K
920-57-7394,56.0,,,Not-in-family,Male,<=50K
465-66-3390,42.0,HS-grad,Divorced,Not-in-family,Male,<=50K
581-84-8893,35.0,Assoc-voc,Never-married,,Male,
518-36-6092,32.0,Some-college,Divorced,Unmarried,,
470-54-6682,60.0,Bachelors,,Unmarried,Female,
216-46-1916,31.0,Bachelors,Married-civ-spouse,Husband,Female,<=50K
073-67-9361,70.0,,Married-civ-spouse,,Male,
627-42-6289,34.0,HS-grad,Divorced,Own-child,Female,<=50K
888-91-2775,30.0,,Never-married,,Male,
182-09-4594,35.0,,Never-married,Not-in-family,Male,<=50K
582-67-8132,,HS-grad,,Wife,Male,>50K
700-85-9950,24.0,HS-grad,Never-married,Not-in-family,Female,>50K
624-26-2898,63.0,Some-college,Widowed,Not-in-family,Female,<=50K
453-04-0540,64.0,,,Husband,Female,
089-74-2014,50.0,HS-grad,Married-civ-spouse,Wife,,>50K
194-90-1719,28.0,,Married-civ-spouse,Husband,,
749-99-9999,53.0,12th,Married-civ-spouse,Husband,,
615-04-9139,,Masters,Married-spouse-absent,Unmarried,Male,<=50K
622-91-1547,23.0,Bachelors,,Own-child,Female,<=50K
568-79-6068,29.0,,,Wife,,>50K
353-65-4790,43.0,10th,Married-civ-spouse,Husband,Male,
798-83-2923,43.0,Some-college,Married-civ-spouse,Husband,,
501-47-4200,44.0,HS-grad,,Wife,Female,
950-30-7124,31.0,Some-college,Divorced,,,<=50K
239-43-4889,22.0,Some-college,Married-civ-spouse,Husband,Male,
184-73-5872,53.0,,Never-married,Not-in-family,Male,
242-59-8279,66.0,Bachelors,Married-civ-spouse,Husband,,>50K
368-79-6068,19.0,HS-grad,Never-married,Own-child,Male,<=50K
827-67-1989,48.0,,Married-civ-spouse,,,<=50K
746-00-7370,23.0,,Married-civ-spouse,Husband,Male,
142-16-8304,30.0,Bachelors,Never-married,Own-child,Male,
584-39-8033,27.0,Some-college,Never-married,Other-relative,Male,<=50K
815-07-9851,34.0,Masters,Married-civ-spouse,,Male,
503-65-4790,,,Widowed,,,<=50K
931-87-9605,,HS-grad,,,Male,
504-05-4053,20.0,,Never-married,Not-in-family,Male,<=50K
165-50-9827,43.0,Bachelors,Divorced,Not-in-family,,
112-34-6437,,Assoc-acdm,,Husband,,>50K
932-70-8844,55.0,Prof-school,Divorced,Not-in-family,Female,<=50K
286-14-8648,26.0,,Married-civ-spouse,,Male,<=50K
067-19-9017,,,,,Male,<=50K
348-46-4373,34.0,HS-grad,Divorced,,,<=50K
027-67-1990,26.0,HS-grad,Married-civ-spouse,Husband,,
234-70-5159,41.0,7th-8th,,,,
058-78-3783,29.0,Bachelors,,Not-in-family,,
149-69-2874,19.0,1st-4th,Never-married,Own-child,Male,
963-94-3487,45.0,Bachelors,Never-married,,,<=50K
870-76-1669,45.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
419-25-6756,41.0,Some-college,Divorced,Unmarried,Female,
097-32-8009,,,Widowed,Not-in-family,,<=50K
733-04-6682,27.0,Masters,Married-civ-spouse,Husband,Male,>50K
342-38-3292,17.0,HS-grad,,Own-child,,<=50K
975-03-0711,44.0,Some-college,Married-civ-spouse,Husband,Female,>50K
855-12-8991,39.0,Bachelors,Married-civ-spouse,Husband,,>50K
619-25-6756,57.0,HS-grad,Married-civ-spouse,Husband,,<=50K
716-15-4790,20.0,Some-college,Never-married,Own-child,Male,
117-62-8992,56.0,,Married-civ-spouse,,Male,<=50K
516-95-3316,25.0,,,Not-in-family,Male,<=50K
004-42-2604,40.0,HS-grad,Divorced,Not-in-family,,<=50K
286-21-0073,27.0,,Married-civ-spouse,,Male,<=50K
849-23-2185,20.0,,Never-married,Own-child,Female,
